sample_idx,motie_id,frame,trigger,filler,party,year,gold_actor_span,gold_actor_cat,gold_patient_span,gold_patient_cat,pred_actor_spans,pred_actor_cat,pred_patient_spans,pred_patient_cat
176,51aef892-6dea-4a22-b32d-9e04c59be4ed,Statement,spreekt,"dat de hoeveelheid in Nederland beschikbare tweede generatie biobrandstoffen de benodigde hoeveelheid biobrandstoffen vanwege de bijmengverplichting inmiddels overschrijdt, en dat de actuele en potentiële biomassa-importen uit het buitenland die voldoen aan de duurzaamheidscriteria van de -Corbey,",CDA,2011,de hoeveelheid in Nederland beschikbare tweede generatie biobrandstoffen,Energy,de benodigde hoeveelheid biobrandstoffen vanwege de bijmengverplichting,Energy,de benodigde hoeveelheid,Other,,
177,9c39cdad-ffb6-4234-85f4-392175166531,Cogitation,"overwegende,",goede doelen hierbij moeten concurreren met afvalverwerkers die het textiel inzamelen als bijstroom en voornamelijk kiezen voor het minder duurzame materiaalhergebruik;,CDA,2009,goede doelen,Other,afvalverwerkers,Industry,,,afvalverwerkers|het textiel|het minder duurzame materiaalhergebruik,Industry|Industry|Citizens
178,01c88532-6a59-4b24-8577-739ba7bd3a7d,Cogitation,overwegende,Motie van de leden Agnes Mulder en Harbers over met onder anderen netbeheerders in gesprek gaan over demonstratieprojecten met waterstof,CDA,2020,,,,,,,gesprek|demonstratieprojecten,Other|Government
179,c1d5665c-3dfa-486c-b0c4-97c6474ab398,Cogitation,overwegende,dat er veel klachten zijn over het toezicht van de NVWA en dat er verbeteringen nodig zijn in het toezicht van de NVWA;,CDA,2013,,,het toezicht van de NVWA,Government,veel klachten|verbeteringen,Citizens|Other,het toezicht,Government
180,45de7640-97bc-4b99-ae0c-a84224d73dec,Cogitation,"overwegende,","overwegende, dat de bijmengverplichting in Nederland voor biobrandstoffen vanwege twijfel aan de duurzaamheid in het verleden naar beneden is bijgesteld;",CDA,2010,,,de bijmengverplichting in Nederland voor biobrandstoffen,Government,de bijmengverplichting,Other,biobrandstoffen|twijfel,Agriculture|Other
181,4592861f-b278-4239-b81e-41b9cc71e6b3,Cogitation,overwegende,"dat de noodzaak voor zo’n sterkere regierol ook blijkt uit de constatering van de Inspectie Leefomgeving en Transport dat bedrijven geneigd zijn om bijvoorbeeld regels voor wegwerpplastic te ontwijken; verzoekt de regering bij de verbetervoorstellen voor de UPV’s ook te verkennen hoe het Rijk of een onafhankelijke partij een meer centrale regierol kan spelen, zonder dat producenten daardoor minder verantwoordelijkheid gaan dragen,",CDA,2023,bedrijven,Industry,regels voor wegwerpplastic,Other,de noodzaak|bedrijven|het Rijk,Other|Industry|Government,de constatering|regels|de verbetervoorstellen|een meer centrale regierol|producenten|minder verantwoordelijkheid,Other|Other|Other|Government|Industry|Government
182,04ee679b-4853-4892-89cc-114c8650aa03,Cogitation,overwegende,Motie van het lid Jan Vos c.s. over voorkomen dat cruciale kennis op het gebied van energie verloren gaat,D66,2015,,,cruciale kennis op het gebied van energie,Energy,cruciale kennis,Science,,
183,f07c2614-1cf6-4141-9162-11ac60de4387,Statement,constaterende,dat onduidelijk is of deze uitgaven kunnen gelden als staatssteun;,D66,2014,,,deze uitgaven,Government,deze uitgaven,Other,,
184,b586db84-0d17-4ed1-9449-879d7ad3fbfa,Statement,aan te geven,"hoe de NSW-rangschikking op termijn geschrapt kan worden,",D66,2017,,,de NSW-rangschikking,Other,de NSW-rangschikking,Other,,
185,3295e9ec-9467-4f1e-9218-7a2a8dbcefd7,Statement,constaterende,"dat in de laatste inventarisatie gedaan voor de Miljoenennota een bedrag tussen de 39,7 en de 46,4 miljard aan fossiele subsidies in kaart is gebracht;",D66,2023,,,"een bedrag tussen de 39,7 en de 46,4 miljard aan fossiele subsidies",Energy,,,de laatste inventarisatie|een bedrag,Other|Other
186,3a5543ec-b9d7-4297-a36a-cbf10087fb74,Cogitation,overwegende,dat nu niet inzichtelijk is of de asfaltcentrales in Nederland voldoen aan de beste beschikbare technieken;,D66,2023,,,de asfaltcentrales in Nederland,Industry,de asfaltcentrales,Industry,de beste beschikbare technieken,Science
187,2a0b67c0-4cdb-428e-9a60-dc26a43f661c,Cogitation,overwegende,dat dit bij voorkeur Europees maar anders nationaal dient te gebeuren;,D66,2019,,,dit,Other,,,voorkeur,Other
188,9b696d70-fc06-4211-a4cf-848231dfd379,Cogitation,overwegende,dat de Nederlandse regering over de wettelijke instrumenten beschikt om het Caribisch deel van het Koninkrijk bij te staan om hun koraal te beschermen;,D66,2019,de Nederlandse regering,Government,hun koraal,Nature,de Nederlandse regering,Government,de wettelijke instrumenten|hun koraal,Government|Nature
189,0f0c5bb2-58ac-4ba2-99a1-b83eb5800085,Statement,constaterende,dat in EU-verband en in G20-verband is afgesproken fossiele subsidies te schrappen;,D66,2023,,,fossiele subsidies,Energy,,,EU-verband|G20-verband|fossiele subsidies,International|International|Government
190,875fb7c5-56bf-4cf5-801e-9fc5a390b5da,Statement,"constaterende,","constaterende, dat het kabinet maatregelen neemt om onnodig hoge gehalten aan fosfor en stikstof in voer terug te dringen;",D66,2011,het kabinet,Government,onnodig hoge gehalten aan fosfor en stikstof in voer,Other,,,hoge gehalten|voer,Other|Agriculture
191,3cf53107-6041-48b2-98f1-4a2feff25c2b,Cogitation,"overwegende,","overwegende, dat groene ondernemers vaak moeite hebben om kredieten te krijgen van banken en andere kredietverstrekkers;",D66,2010,groene ondernemers,Industry,,,groene ondernemers,Industry,moeite|kredieten|banken,Other|Other|Industry
192,11093bd0-67a5-4e8a-a14a-f90d4abfd3fc,Statement,constaterende,"dat internationaal transport, zoals zeescheepvaart, een significante bijdrage levert aan de uitstoot en vervuiling van onze zee;",D66,2018,"internationaal transport, zoals zeescheepvaart",International,onze zee,Nature,internationaal transport,Other,de uitstoot,Other
193,2c938987-8c76-49ba-91f5-a77f44f06501,Cogitation,overwegende,"dat de Minister verschillende escalatiemechanismen inbouwt in het Nationaal Programma Landelijk Gebied, zoals de inzet van ruimtelijkeordeninginstrumentarium om besluiten door te zetten;",D66,2022,de Minister,Government,escalatiemechanismen,Other,de Minister,Government,verschillende escalatiemechanismen|Nationaal,Government|Government
194,afaf5f74-6ada-4e97-8028-eeb4ebcad871,Statement,constaterende,Motie van het lid Smaling c.s. over gedeeltelijke vernatting van veenweidegebieden als optie om de klimaatdoelen te verwezenlijken,D66,2016,het lid Smaling c.s.,Government,gedeeltelijke vernatting van veenweidegebieden,Nature,,,de klimaatdoelen,Government
195,901834eb-1dff-4eef-8fb8-d292b0c7aa03,Statement,constaterende,dat het drinkwater niet voldoet aan de norm die het RIVM adviseert;,D66,2025,het drinkwater,Other,de norm die het RIVM adviseert,Science,het drinkwater|RIVM,Nature|Science,de norm,Other
196,16520419-bc3a-4800-836e-d3d54c42d042,Statement,constaterende,"verzoekt de regering, een interdepartementaal Nationaal Biodiversiteitsplan met concrete doelen op te stellen om gezamenlijk met medeoverheden en milieu, natuur-, landbouw-, visserij-, industrie- en mobiliteitsorganisaties te werken aan het herstel van de biodiversiteit in Nederland,",D66,2017,de regering,Government,een interdepartementaal Nationaal Biodiversiteitsplan,Other,,,een interdepartementaal|medeoverheden|het herstel,Government|Government|Other
197,9fe9839e-4a2f-4d0c-a6d3-db7bf1845548,Cogitation,"overwegende,","overwegende, dat de productie van olie uit teerzanden meer vervuiling veroorzaakt dan de productie van conventionele olie;",D66,2012,de productie van olie uit teerzanden,Energy,meer vervuiling,Nature,de productie,Industry,teerzanden|meer vervuiling,Nature|Nature
198,19f55588-f1d8-4600-9501-4e2d30b035d3,Cogitation,overwegende,dat het beleid voorschrijft dat een lozingsvergunning alleen mag worden afgegeven,D66,2023,het beleid,Government,een lozingsvergunning,Other,het beleid|een lozingsvergunning,Government|Government,,
199,c70fbf06-e2d9-4915-b70e-40ff6483c6da,Cogitation,overwegende,Motie van de leden Van Raak en Hachchi over de Isla-raffinaderij laten voldoen aan alle eisen,D66,2015,,,de Isla-raffinaderij,Energy,,,alle eisen,Other
200,dd74f367-798c-4326-834b-010a2e07067d,Cogitation,overwegende,dat in de uitwerking van het NSP gekeken wordt naar een gebiedsgerichte aanpak;,D66,2021,,,een gebiedsgerichte aanpak,Other,,,de uitwerking|een gebiedsgerichte aanpak,Other|Government
201,90deef8b-d05d-46f3-a897-8b32d2a590b2,Cogitation,overwegende,Motie van de leden Jacobi en Hachchi over de middelen uit het Deltafonds die zijn gereserveerd voor de Kaderrichtlijn Water,D66,2014,,,de middelen uit het Deltafonds die zijn gereserveerd voor de Kaderrichtlijn Water,Government,,,Kaderrichtlijn,Government
202,27bcda67-df6c-48b8-9f6f-6abe07a369cb,Statement,constaterende,dat uit onderzoek blijkt dat giftige stoffen in textiel risico’s voor de volksgezondheid vormen;,D66,2016,giftige stoffen in textiel,Other,volksgezondheid,Citizens,giftige stoffen,Nature,de volksgezondheid,Science
203,8987bac5-9178-46a7-9625-884e4f5fa631,Statement,constaterende,dat er conform de motie-Wingelaar/Gabriëls onderzocht wordt of bodemregelgeving aangescherpt moet worden ten aanzien van het gebruik van Beaumix;,D66,2025,,,bodemregelgeving,Government,bodemregelgeving,Government,de motie-Wingelaar/Gabriëls,Government
204,8a8a639c-e5cc-44af-95e5-be22c229a03e,Cogitation,overwegende,"dat dit project een goed voorbeeld is voor de ontwikkeling van alternatieve verdienmodellen binnen de kringlooplandbouw in Nederland en dat de boeren op Schiermonnikoog een steuntje in de rug verdienen om deze vooruitstrevende transitie, passend binnen de landbouwvisie van de regering, te laten slagen,",D66,2018,de boeren op Schiermonnikoog,Agriculture,deze vooruitstrevende transitie,Other,dit project|de boeren,Other|Agriculture,Schiermonnikoog|een steuntje|de rug|de landbouwvisie,Nature|Other|Other|Agriculture
205,d39cf7f5-2529-4a44-b707-1c351ff82d53,Cogitation,overwegende,dat de Integrale Circulaire Economie Rapportage 2025 (ICER) aantoont dat aanvullend circulair beleid nodig is om de zelfvoorzienendheid van Nederland te vergroten;,D66,2025,de Integrale Circulaire Economie Rapportage 2025 (ICER),Government,aanvullend circulair beleid,Government,aanvullend circulair beleid,Government,de zelfvoorzienendheid,Citizens
206,6031ed70-af85-441e-99f4-c184ddbe09bc,Cogitation,"overwegende,","overwegende, dat de rijksoverheid altijd voor de schoonste en energiezuinigste voertuigen zou moeten kiezen, tenzij ze zwaarwegende argumenten heeft om dat niet te doen;",D66,2011,de rijksoverheid,Government,de schoonste en energiezuinigste voertuigen,Other,de rijksoverheid,Government,de schoonste en energiezuinigste voertuigen|zwaarwegende argumenten,Energy|Other
207,67993cec-e0b3-4e5f-bc8e-009418cf9f57,Cogitation,overwegende,het leed dat de gaswinning in Groningen veroorzaakt;,D66,2025,de gaswinning,Energy,,,de gaswinning,Industry,,
208,18acbe3f-c454-4395-a773-085ceb7a20af,Statement,constaterende,"dat de regering ervan uitgaat dat er voor 30 november overeenstemming komt tussen de partijen van het energieakkoord over de duurzaamheidscriteria; verzoekt de regering, de Kamer te informeren over de duurzaamheidscriteria zodra deze akkoord zijn bevonden door alle partijen die bij de gesprekken hierover betrokken zijn, en er hoe dan ook zorg voor te dragen dat er voor de SDE+ 2015 voor biomassa duurzaamheidscriteria zullen gelden en de Kamer hierover tijdig te informeren,",D66,2014,de regering,Government,,,overeenstemming,Other,alle partijen|de gesprekken|zorg|SDE+|biomassa,Government|Other|Other|Energy|Energy
209,b4249a85-11a2-4514-82f2-692f76f6460d,Cogitation,overwegende,dat het voorstel van de Europese Commisie voor de Effort Sharing Regulation het mogelijk maakt om onbeperkt allocaties tussen verschillende jaren uit te wisselen («banking») waardoor het onzeker wordt of het reductiedoel in 2030 wordt gehaald;,D66,2017,het voorstel van de Europese Commisie voor de Effort Sharing Regulation,International,het reductiedoel in 2030,Other,het reductiedoel,Other,onbeperkt allocaties|banking,Other|Industry
210,bf37ef04-52d1-4bff-8902-996c08a8d2de,Statement,constateert,"dat door te bezuinigen op reeds bij de Europese ingediende stroomgebiedbeheersplannen, het risico op een ingebrekestelling toeneemt;",D66,2011,,,het risico op een ingebrekestelling,Other,,,reeds bij de Europese ingediende stroomgebiedbeheersplannen|een ingebrekestelling,International|Other
211,6fb81047-1eae-469f-be41-8fc40e229033,Cogitation,overwegende,"dat naast de toxicologische kwaliteit van de grond ook de grondsoort, samenstelling en biologische inhoud, zoals invasieve soorten, van invloed kunnen zijn;",D66,2018,"de toxicologische kwaliteit van de grond ook de grondsoort, samenstelling en biologische inhoud, zoals invasieve soorten",Nature,,,invasieve soorten,Nature,,
212,e9a00191-261c-4672-81a7-62721ca74196,Cogitation,overwegende,"dat de Waddenzee, ons grootste natuurgebied en grootste UNESCO-werelderfgoed, wordt bedreigd door klimaatverandering, bodemdaling, mijnbouw en andere verstoringen",D66,2025,"klimaatverandering, bodemdaling, mijnbouw en andere verstoringen",Other,de Waddenzee,Nature,Waddenzee,Nature,,
213,5452b4e1-6eff-4ed0-860f-dd1366b6afb1,Statement,spreekt uit,dat de Waddenzee geen afvoerputje is en deze kwetsbare en unieke natuur moet worden beschermd;,D66,2022,,,deze kwetsbare en unieke natuur,Nature,Waddenzee|afvoerputje|deze kwetsbare en unieke natuur,Nature|Nature|Nature,,
214,6ae70ae8-ed44-4643-9e77-01c0e54bd6a3,Cogitation,overwegende,dat de overgang naar een circulaire economie kan helpen om grondstoffen beter veilig te stellen door bijvoorbeeld hergebruik en recycling;,D66,2022,de overgang naar een circulaire economie,Other,grondstoffen,Other,de overgang,Other,een circulaire economie|grondstoffen|bijvoorbeeld hergebruik,Other|Industry|Citizens
215,108bc1b3-8dac-4c62-b387-2884c1883685,Cogitation,overwegende,dat de uitgebreide assessment van de Europese op basis van wetenschappelijk advies stelt dat een doel van een minimale reductie van 90% nodig is;,D66,2025,de uitgebreide assessment van de Europese,International,een doel van een minimale reductie van 90%,Other,de uitgebreide assessment,Science,wetenschappelijk advies,Science
216,8ced5d44-c4e1-4853-b917-22f2d13090d6,Cogitation,overwegende,dat kunstmatige intelligentie in toenemende mate een rol zal gaan spelen in de samenleving en economie; overwegende dat datacentra op eigen bodem een belangrijke rol spelen bij digitale strategische autonomie;,D66,2025,kunstmatige intelligentie,Other,de samenleving en economie,Other,kunstmatige intelligentie,Science,de samenleving|eigen bodem|digitale strategische autonomie,Citizens|Agriculture|Other
217,d60b6127-dbae-4e6f-910a-eba3af4c7633,Cogitation,overwegende,dat dit kabinet inzet op meer zonne-energie,D66,2023,dit kabinet,Government,meer zonne-energie,Energy,dit kabinet,Government,meer zonne-energie,Energy
218,24892906-d501-4107-b71a-ec97d8123017,Statement,"constaterende,","dat naar verwachting slechts drie van de twaalf uitgegeven vergunningen voor windenergieparken op zee zullen worden gebruikt als gevolg van de uitkomsten van de tender in verband met Ronde 2 windenergie op zee; overwegende, dat de bedrijven die meegedaan hebben aan de tenderprocedure geld en tijd hebben gestopt in de voorbereidingen voor de vergunningaanvraag, wat verloren dreigt te gaan wanneer deze vergunningen verlopen; verzoekt de regering om de levensduur van de vergunningen in kwestie te verlengen tot 2020 en deze verhandelbaar te maken tussen marktpartijen,",D66,2010,,,slechts drie van de twaalf uitgegeven vergunningen voor windenergieparken op zee,Energy,de bedrijven|deze vergunningen,Industry|Other,de uitkomsten|Ronde|de tenderprocedure|de voorbereidingen|de levensduur,Other|Other|Government|Other|Other
219,c780fe2c-8584-4a52-90a5-2997a031ce0e,Statement,stelt,dat visserij op een niveau van maximum sustainable yield op zijn laatst behaald moet zijn in 2020;,D66,2016,,,visserij op een niveau van maximum sustainable yield,Agriculture,visserij,Agriculture,een niveau,Other
220,780c3899-f370-4f7d-819f-20d316ac2bc9,Cogitation,overwegende,Motie van de leden Van Veldhoven en Van Gerven over de mogelijkheid om op nationaal niveau striktere percentages te hanteren dan op Europees niveau,D66,2014,,,,,,,nationaal niveau|striktere percentages,Government|Other
221,ef896fe0-3b79-4914-b96a-8edcd9e653ab,Statement,"constaterende,","constaterende, dat in het regeerakkoord is vastgelegd dat vanaf 2012 de bijdrage van 115 mln. voor het afvalfonds wordt geschrapt;",D66,2011,,,de bijdrage van 115 mln. voor het afvalfonds,Government,,,afvalfonds,Other
222,42cd5b08-5074-40b4-8fc1-bfc127a11239,Statement,constaterende,dat het huidige energielabel niet aan Europese voorschriften voldoet;,D66,2020,het huidige energielabel,Government,Europese voorschriften,International,het huidige energielabel,Energy,Europese voorschriften,International
223,3caefcb8-c494-42d8-82a5-e11fddbb57e6,Cogitation,"overwegende,","overwegende, dat collectieve projecten voor de aanschaf van zonnepanelen gebaat zouden zijn bij een hogere salderingsgrens dan de huidige 5000 kWh;",D66,2010,,,collectieve projecten voor de aanschaf van zonnepanelen,Energy,collectieve projecten,Citizens,een hogere salderingsgrens,Citizens
224,3eb63c3a-e9c5-43fa-b87e-0d3ae0274f91,Cogitation,"overwegende,","overwegende, dat het alternatief van het kabinet voor natuurherstel in de Westerschelde bovendien nog grote financiële onzekerheden met zich brengt;",D66,2012,het alternatief van het kabinet voor natuurherstel in de Westerschelde,Government,grote financiële onzekerheden,Other,grote financiële onzekerheden,Other,,
225,c8fe724b-a8d8-4d2c-88a4-2bd7e75b73ea,Cogitation,overwegende,dat kolencentrales onder het ETS vallen en dat de sluiting van kolencentrales via een waterbedeffect voor een te ruim ETS met een te lage CO2-prijs binnen Europa kan zorgen;,D66,2015,de sluiting van kolencentrales,Energy,een te ruim ETS met een te lage CO2-prijs,International,kolencentrales|de sluiting,Energy|Other,het ETS|een waterbedeffect|een te lage CO2-prijs,International|Nature|Government
226,2a0b67c0-4cdb-428e-9a60-dc26a43f661c,Cogitation,overwegende,dat voor de relevante financiële aspecten bij het openen van een rekening of het kopen van een financieel product reeds informatieverplichtingen gelden;,D66,2019,informatieverplichtingen,Government,,,informatieverplichtingen,Other,de relevante financiële aspecten,Other
227,7746baf4-bdb4-43c0-94ae-d6ef74d5442e,Cogitation,overwegende,"dat bij belangrijke doelstellingen omtrent gasdiversificatie, vermindering van energieafhankelijkheid van Rusland en coördinatie van zowel het nationale als externe energiebeleid onvoldoende progressie is geboekt;",D66,2020,,,"belangrijke doelstellingen omtrent gasdiversificatie, vermindering van energieafhankelijkheid van Rusland en coördinatie van zowel het nationale als externe energiebeleid",Energy,onvoldoende progressie,Other,,
228,8b428085-4779-4964-95e3-589180c60b6c,Cogitation,overwegende,"dat de energiecrisis vraagt om een aanpak voor alle vormen van energie; overwegende dat een tekort van gas een risico vormt voor de productie van op olie gebaseerde producten zoals brandstoffen; verzoekt de regering de Kamer in september te informeren over de mogelijkheden, concrete randvoorwaarden en effecten waaronder de snelheid op de auto(snel)wegen kan worden verlaagd bij een ernstige verstoring van de olieaanvoer en daarbij de optie van een autoloze zondag te betrekken,",D66,2022,de energiecrisis,Other,een aanpak voor alle vormen van energie,Energy,de energiecrisis|een tekort|de snelheid|wegen,Energy|Other|Other|Other,een aanpak|de productie|olie|september|een ernstige verstoring|daarbij de optie,Other|Agriculture|Industry|Other|Nature|Other
229,3f5a547e-7a6e-4304-b6eb-7afd21daed4c,Statement,constaterende,Motie van de leden Hachchi en Jasper Van Dijk over vóór de zomer van 2016 afronden van de onderzoeken naar het werken met chroomverf,D66,2015,,,de onderzoeken naar het werken met chroomverf,Science,,,de zomer|de onderzoeken,Other|Science
230,8b3b2991-58d1-48c2-8831-a481938273b8,Cogitation,overwegende,"dat de bedrijven die in 2009 vergunningen verwierven, voorlopers waren op het gebied van wind op zee;",D66,2014,de bedrijven die in 2009 vergunningen verwierven,Industry,,,de bedrijven,Industry,vergunningen,Government
231,109dae97-575e-4117-b1ed-b31345d9796b,Statement,aangegeven,in gesprek te willen gaan over het vervroegd sluiten van hun centrales;,D66,2019,,,hun centrales,Energy,,,gesprek,Other
232,2e045092-03fa-4ebd-84e0-cac453e02ebf,Statement,constaterende,dat slechts vijf gemeenten een gevoeligebestemmingenbeleid hebben;,D66,2022,slechts vijf gemeenten,Government,een gevoeligebestemmingenbeleid,Other,slechts vijf gemeenten,Government,een gevoeligebestemmingenbeleid,Government
233,18acbe3f-c454-4395-a773-085ceb7a20af,Statement,constaterende,"dat in het energieakkoord is afgesproken dat er voor biomassa die wordt bij- of meegestookt in een kolencentrale «verdergaande duurzaamheidseisen worden geformuleerd ten aanzien van koolstofschuld, indirecte landgebruikseffecten (IULC) en duurzaam bosbeheer (FSC), aanvullend op de NTA8080-eisen»;",D66,2014,,,verdergaande duurzaamheidseisen,Other,duurzaamheidseisen,Other,koolstofschuld|NTA8080-eisen,Nature|Other
234,1323c03d-3caf-47e3-a63d-3a0e612d84f1,Cogitation,overwegende,"dat windmolens binnen de twaalfmijlszone bij de kust worden geplaatst omdat de nationale MKBA aangeeft dat de nationale maatschappelijke baten hoger zijn dan de kosten, maar dat kustgemeenten hiervan lokaal wel negatieve economische consequenties kunnen ervaren;",D66,2016,,,kustgemeenten,Government,windmolens|MKBA|de nationale maatschappelijke baten|kustgemeenten,Energy|Government|Other|Government,de twaalfmijlszone|de kust|negatieve economische consequenties,Nature|Nature|Industry
235,71c6113c-e43b-4563-9e74-b09c57867426,Cogitation,overwegende,"dat de Europese een voorstel heeft gedaan om de regelgeving rond plantveredeling te vernieuwen, waaronder het gebruik van nieuwe genomische technieken;",D66,2024,de Europese,International,de regelgeving rond plantveredeling,Other,,,de regelgeving,Government
236,43fc5777-c7de-4566-8f0b-da443f01049f,Cogitation,overwegende,dat met de komst van meer hernieuwbare weersafhankelijke elektriciteit er meer variatie komt in het aanbod van elektriciteit;,D66,2018,de komst van meer hernieuwbare weersafhankelijke elektriciteit,Energy,het aanbod van elektriciteit,Energy,meer variatie,Other,de komst|het aanbod,Other|Other
237,b10d116a-6642-4dfa-a7bd-3bb1a6d466c8,Statement,constaterende,"dat beide moties tot op heden onvoldoende uitwerking hebben gehad; verzoekt de regering, nadrukkelijk de uitwerking van beide, reeds aangenomen moties een plek te geven in de uitvoeringsagenda van de NOVI en daarover afspraken te maken met lagere overheden en andere maatschappelijke partijen waarnaast tevens een instrumenteel kader wordt neergelegd ten aanzien van de uitwerking, zodat stedelijk groen wordt opgenomen in omgevingsplannen op gemeentelijk en provinciaal niveau,",D66,2019,beide moties,Other,,,beide moties,Other,heden|uitwerking|een plek|de uitvoeringsagenda|afspraken|lagere overheden|de uitwerking|omgevingsplannen,Other|Other|Other|Government|Other|Government|Other|Nature
238,9bafa00e-af93-404a-a2ad-c3880b8f00ba,Cogitation,overwegende,dat de internationale doelstellingen om de natuur te beschermen niet worden gehaald en dat het slecht gaat met de Europese natuur en haar biodiversiteit;,D66,2020,,,de Europese natuur en haar biodiversiteit,Nature,,,de natuur|de Europese natuur,Nature|Nature
239,6bacd0b2-ad60-40e9-abc9-e30b6a14aaee,Statement,constaterende,"dat schoenen niet onder de huidige UPV textiel vallen en het weggooien verkwisting van grondstoffen én milieuschade oplevert; verzoekt de regering zo snel mogelijk na de zomer een UPV schoenen in te stellen, zodra uit onderzoek is gebleken dat dit een positieve impact heeft,",D66,2023,het weggooien,Other,verkwisting van grondstoffen én milieuschade,Nature,schoenen,Other,textiel|de zomer|een UPV schoenen|een positieve impact,Industry|Other|Energy|Other
240,9c62d6d3-369f-41eb-8b74-924ca148afa8,Cogitation,overwegende,"dat een circulaire economie grote milieuvoordelen oplevert, ons minder afhankelijk maakt van grondstoffen en zorgt voor banen;",D66,2014,een circulaire economie,Other,ons,Citizens,een circulaire economie,Other,grote milieuvoordelen|grondstoffen|banen,Nature|Industry|Industry
241,0fed86e9-010e-4af9-bc6d-33c12416b326,Cogitation,overwegende,dat de gaswinning in Groningen heeft geleid tot meer dan 265.000 schademeldingen;,D66,2024,de gaswinning in Groningen,Energy,,,de gaswinning,Industry,schademeldingen,Citizens
242,ae94f782-52a6-409a-827d-7f1e085e8329,Statement,constaterende,dat er aanleiding is vanuit de wetenschap om het onnodige gebruik van glyfosaat terug te dringen;,D66,2023,de wetenschap,Science,het onnodige gebruik van glyfosaat,Other,,,de wetenschap,Science
243,0cc14ee7-6f33-4252-aa55-d5b91c87b568,Cogitation,overwegende,dat de productie van biobrandstoffen het risico in zich draagt dat dit ten koste gaat van voedselvoorziening; van mening dat daarom juist de ontwikkeling van geavanceerde biobrandstoffen alle ruimte moet krijgen;,D66,2014,de productie van biobrandstoffen,Industry,voedselvoorziening,Citizens,de productie,Industry,voedselvoorziening,Agriculture
244,596423cf-a62f-4e0b-b6d2-bbbe33530227,Cogitation,overwegende,"dat zeeschepen zonder katalysator tot 90% meer stikstof uitstoten dan zeeschepen met een dergelijke katalysator, en dat uitstel daarmee van invloed is op de luchtkwaliteit in Nederland;",D66,2013,zeeschepen zonder katalysator,Industry,de luchtkwaliteit in Nederland,Nature,zeeschepen|uitstel,Industry|Other,meer stikstof|de luchtkwaliteit,Agriculture|Nature
245,dff3b71d-095d-4fe5-a8f5-ffc7a18abfc4,Cogitation,overwegende,dat zeer uiteenlopende bedrijven willen investeren in de ontwikkeling en verwerking van zeewier;,D66,2019,zeer uiteenlopende bedrijven,Industry,de ontwikkeling en verwerking van zeewier,Other,,,uiteenlopende bedrijven,Industry
246,e3ddb116-f48b-429b-a779-713cd019c0a6,Statement,constaterende,dat de overheid een voorbeeldrol vervult op het gebied van circulair inkopen;,D66,2015,de overheid,Government,een voorbeeldrol,Other,de overheid,Government,een voorbeeldrol,Government
247,6d76a3ec-6baa-4445-92cd-39c5b292f5ba,Cogitation,overwegende,dat duurzaamheidsdoelstellingen voor verpakkingen ambitieus genoeg moeten zijn;,D66,2015,duurzaamheidsdoelstellingen voor verpakkingen,Government,,,duurzaamheidsdoelstellingen,Other,,
248,d4209d96-3b24-4b2e-86fa-660cad708513,Statement,constaterende,"dat dit komt doordat het mkb tegen beleidsgrenzen aanloopt en verduurzaming niet als toegankelijk, voordelig en begrijpelijk genoeg ervaart;",D66,2024,het mkb,Industry,beleidsgrenzen,Government,het mkb,Industry,beleidsgrenzen|verduurzaming,Government|Other
249,0bc0be16-4160-4361-a16e-8cd76ca55827,Cogitation,overwegende,dat de partijen van het energieakkoord bezig zijn met het opstellen van een intensiveringspakket om de doelen van het energieakkoord te bereiken;,D66,2016,de partijen van het energieakkoord,Other,een intensiveringspakket,Other,de partijen,Other,,
250,64278a31-dedf-4a75-a526-7bc9fdfa6ee7,Cogitation,"overwegende,","overwegende, dat de Europese Unie een nieuwe Energie Efficiency Richtlijn (nEER) in voorbereiding heeft waarin de lidstaten naast een overall-doelstelling ook gedetailleerde middelenvoorschriften",D66,2011,de Europese Unie,International,een nieuwe Energie Efficiency Richtlijn (nEER),Other,Europese|de lidstaten,International|International,,
251,374236b7-1903-4326-84d1-1164d84d7a0b,Statement,constaterende,Motie van de leden Van Esch en Hagen over met de Vlaamse overheid keiharde afspraken maken om de vervuiling door onder andere PFAS en plastic korrels in de Westerschelde terug te dringen,D66,2022,,,de vervuiling door onder andere PFAS en plastic korrels,Nature,,,de Vlaamse overheid|de vervuiling,Government|Nature
252,d031c621-d945-47e7-8d30-d7ca5eb24a76,Statement,constaterende,dat de PBL-monitor met betrekking tot de transitie naar een circulaire economie onder andere in kaart brengt wat de «voetafdruk» is van de consument en er veel onderliggend onderzoek gedaan wordt naar de impact van producten;,D66,2018,de PBL-monitor,Science,de «voetafdruk» van de consument,Citizens,de PBL-monitor|voetafdruk,Science|Nature,de impact,Other
253,ae94f782-52a6-409a-827d-7f1e085e8329,Cogitation,overwegende,Motie van het lid Tjeerd de Groot c.s. over de motie die het doodspuiten van graslanden en vanggewassen verbiedt uiterlijk 1 juli 2024,D66,2023,de motie,Government,het doodspuiten van graslanden en vanggewassen,Agriculture,het doodspuiten,Nature,,
