sample_idx,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
75,d66,2021,"Strijden voor een beter klimaat Iedereen krijgt te maken met klimaatverandering, ook wij in Nederland. Nu al overstromen onze kelders op het ene moment, terwijl er het volgende moment extreme droogte is. Het regent weerrecords. Wetenschappers waarschuwen steeds luider: we moeten ernaar streven dat de aarde niet meer dan anderhalve graad opwarmt. Dat hebben we ook afgesproken in het Klimaatakkoord van Parijs. D66 heeft gestreden voor een nationaal klimaatakkoord. Daarmee leveren we onze bijdrage aan een wereldwijde uitdaging. Maar alleen komen we er niet. We werken samen met andere Europese landen in de Green Deal aan een groen herstel na de coronacrisis. We pakken als handelsland de kansen om klimaatverandering aan te pakken en tegelijk banen te creëren in een groene economie. Steeds meer mensen en bedrijven gaan bewust om met hun klimaatimpact. Er ligt een taak voor de overheid om de leiding te nemen en te helpen, zodat iedereen mee moet en ook kán doen. Zoals we in het verleden ook hebben gedaan met de bouw van dijken, spoorwegen en windmolens. Door heldere doelen te stellen. Door een deel van de risico's te dragen van energieopwekking en infrastructuur aan te leggen. Door de groene keuze voor iedereen de logische keuze te maken: makkelijk en goedkoop. En door inwoners mee te laten praten, beslissen en profiteren.",3,2,3,1,4,3,1
76,d66,2021,Het tegengaan van ontbossing wereldwijd in de strijd tegen klimaatverandering en het zorgen voor grootschalige duurzame herbebossing.,1,1,1,1,3,2,1
77,d66,2023,"Kunstmatige intelligentie ontwikkelen we in samenwerking tussen overheden, bedrijven en de wetenschap, om het maatschappelijk belang te dienen. Bijvoorbeeld om klimaatverandering te bestrijden of armoede tegen te gaan, of voor medisch onderzoek. Hierbij maken we gebruik van zogeheten data commons, waarmee we op een verantwoorde manier data delen tussen overheid, wetenschap en bedrijven, ten bate van maatschappelijke uitdagingen.",1,2,2,1,2,1,1
78,d66,2023,"Niet alle sectoren dragen gelijkwaardig bij aan ons toekomstig verdienvermogen. Voor sommige activiteiten geldt dat deze grote negatieve gevolgen hebben op de omgeving. Denk aan de intensieve veeteelt, die veel ruimte gebruikt en grote negatieve effecten heeft op bodem-, lucht- en waterkwaliteit, terwijl de bijdrage aan de economie gering is. Hetzelfde geldt voor sommige industrieën, zoals staal en kunstmest. Een bedrijf als Tata Steel kan alleen in Nederland blijven als het fundamenteel verduurzaamt. Voor sommige activiteiten, zoals fossiele raffinage, is in een klimaatneutrale economie geen plek. Sectoren die niet bijdragen aan brede welvaart zullen radicaal moeten verduurzamen of krimpen.",4,1,1,1,3,2,1
79,d66,2023,"Nieuwe verdienmodellen voor boeren en de keten kunnen ontstaan door in te zetten op onder andere de circulaire en biobased economie, koolstofvastlegging of kortere ketens waarbij boeren direct leveren aan consumenten.",4,1,1,1,3,1,1
80,d66,2023,"Ook geven we ruimte aan de ontwikkeling van andere toekomstgerichte sectoren, zoals batterijproductie, technologie rond klimaat- en natuurherstel en kunstmatige intelligentie.",2,1,1,1,2,1,1
81,d66,2023,"Gezamenlijk maken wij keuzes over ons klimaat, onze toekomstige economie en onze veiligheid.",2,1,1,2,1,1,1
82,d66,2023,worden gemoderniseerd om beter aan te sluiten bij de inspanningen op het gebied van klimaatverandering en de duurzaamheidstransitie.,1,1,1,1,1,1,1
83,d66,2023,"De afgelopen jaren heeft de overheid het begrotingsbeleid ingezet om de economische gevolgen van de coronapandemie en de energiecrisis te verzachten. Maar de inflatie en de rente zijn hoog en de economische groei vertraagt. Het vorige kabinet heeft bewust veel geld ingezet om de grote transities op stikstof en klimaat mogelijk te maken en te kunnen investeren in onderwijs en defensie. Daarmee voorkomen we het doorschuiven van deze problemen naar een volgende generatie. De uitgaven aan rente, klimaat en zorg lopen echter wel op, waardoor bij ongewijzigd beleid het overheidstekort boven de Europese grens van 3 procent uitkomt. Dat is onwenselijk. De uitzonderingen op de begrotingsregels van het kabinet die zijn gemaakt om grote en onverwachte schokken het hoofd te kunnen bieden, kunnen niet de norm worden. Er moet telkens opnieuw een afweging gemaakt worden tussen verschillende beleidskeuzes om te voorkomen dat de rekening bij toekomstige generaties wordt neergelegd. We willen structureel de lasten van mensen kunnen verlagen, blijven investeren in onderwijs, de arbeidsmarkt, hervorming van het toeslagenstelsel, wetenschap en cultuur. De klimaattransitie en uitbouw van onze infrastructuur zullen ook investeringen vergen.",5,3,1,1,1,1,1
84,d66,2023,"Op bestaande bedrijventerreinen en in de nieuwe bedrijfsclusters verplichten we efficiënt en meervoudig ruimtegebruik. Bijvoorbeeld door parkeerruimte onder gebouwen, of groen en energieopwekking op gebouwen. Zo houden we de ruimtebehoefte zo veel mogelijk beperkt en zijn ook bedrijventerreinen meer natuurinclusief.",2,1,1,1,3,1,1
85,d66,2023,"We maken werk van de verduurzaming van de luchtvaart. Door technologieën te ontwikkelen om elektrisch vliegen verder te brengen en door zelf waterstof en synthetische kerosine te ontwikkelen, kunnen we daar zelfs aan verdienen. D66 ziet een kans voor Nederland om de schone brandstoffenproducent van Europa te worden",4,1,1,2,2,1,1
86,d66,2023,"De klimaatvoetafdruk in de zorg moet omlaag. Die is nu bijna 8 procent van de totale nationale C02-uitstoot. Dit is niet alleen beter voor het klimaat maar ook voor de financiële houdbaarheid van (grote) zorgaanbieders. Er zijn grote stappen te zetten op bijvoorbeeld het voorkomen van onnodig weggooien en verbranden van producten die maar één keer worden gebruikt, het voorkomen van voedselverspilling of het voorkomen van verspilling van medicijnen. D66 wil daarom de Green Deal Duurzame Zorg blijven ondersteunen en Europese samenwerking op het gebied van verduurzaming in en door de zorg aanmoedigen.",3,1,2,1,2,1,1
87,d66,2023,"ons huidige model van produceren, consumeren en weggooien onhoudbaar is. Dit model veroorzaakt niet alleen milieuproblemen, maar ook veiligheidsrisico's en economische afhankelijkheid. Bijna de helft van onze CO2-uitstoot komt voort uit de productie van voedsel en goederen. Dit kan en moet anders. We zitten midden in de transitie naar een toekomstbestendige economie, een circulaire, uitstootvrije economie, waarin producten en grondstoffen maximaal worden hergebruikt. We verschuiven naar een circulaire benadering, waarin onder andere slim ontwerpen, delen, repareren, hergebruiken en recyclen centraal staan. We heroverwegen onze productie. We heroverwegen onze productie- en consumptiepatronen en waardecreatie. Soms kiezen we er ook voor iets niet of minder te produceren of te kopen. Deze overgang biedt niet alleen kansen om duurzamer te worden, maar ook om onze economie veiliger en veerkrachtiger te maken, nieuwe banen te creëren en strategische autonomie te versterken.",-1,-1,-1,-1,-1,-1,-1
88,d66,2023,"Het helpt ons bij het afbouwen van strategische afhankelijkheden van landen als China en Rusland, het veiligstellen van voldoende grondstoffen voor de duurzaamheidstransitie en om dichter bij betrouwbare partners in bijvoorbeeld Afrika en Latijns-Amerika te komen.",1,1,1,4,1,1,1
89,d66,2023,"We werken nauw samen op de thema's onderwijs, gezondheidszorg, klimaat- en energietransitie en veiligheid.",1,1,1,1,1,1,1
90,d66,2023,"Onze arbeidsmarkt verandert continu, met name door digitalisering, robotisering en de transitie naar een groene economie en samenleving. Hierdoor zullen banen verdwijnen, maar ook nieuwe banen ontstaan. D66 zet vol in op een leven lang ontwikkelen, zodat mensen de toekomst aan blijven kunnen. Dat vraagt niet alleen goede aansluiting tussen onderwijs en arbeidsmarkt, maar ook om méér onderwijs op de arbeidsmarkt.",3,1,1,1,1,1,1
91,d66,2023,"Onze leefomgeving staat onder druk, er is een tekort aan woningen en de bodem- en watersystemen voldoen niet meer als gevolg van het sterk veranderende klimaat. En we hebben veel wensen, zoals een toekomstbestendig voedselsysteem, een sterkere natuur, weerbare dijken en blijven reizen. Dat vraagt om innovatieve keuzes en een spaarzame omgang met de vierkante meters in ons land. De afgelopen jaren zijn echte keuzes vooruitgeschoven. Ondertussen zijn de opgaven complexer geworden, is de ruimte beperkter en worden de keuzes alleen maar moeilijker. De verandering van het klimaat en de druk op het milieu versnellen de urgentie.",1,1,2,1,3,3,1
92,d66,2023,"Om de toegankelijkheid van allerlei (semi)publieke vervoersdiensten te verbeteren, steunt D66 de ontwikkeling van apps voor actueel reisadvies via meerdere vervoersmiddelen waar je gelijk kan reserveren, boeken, betalen en de CO2-uitstoot van de reis wordt getoond.",1,1,1,1,2,1,1
93,d66,2023,"Afval dat alleen nog verbrand kan worden doen we in Europees verband zo efficiënt mogelijk, waarbij de laagst mogelijke uitstoot van CO2 leidend is. Tegelijkertijd gaan we het exporteren van afval naar buiten de EU tegen om het daar te laten verbranden. Ook stellen we een afbouwpad voor verbrandingscapaciteit vast en verhogen we de belasting op afval voor het grootbedrijf: hoe meer afval wordt verbrand, hoe meer je betaalt.",2,1,1,1,3,1,1
94,d66,2023,"We streven naar klimaatneutrale landbouw in Nederland tegen 2040. Elke sector draagt bij aan onze klimaatdoelstellingen en er is geen tijd te verliezen. Voor de landbouw en de rest van de keten betekent dit dat er maatwerk komt per sector met stimulerend, maar ook sturend beleid.",1,1,1,1,1,3,1
95,d66,2023,Ook verduurzaming van bestaande en nieuwbouw speelt een grote rol. We isoleren álle huizen en starten bij de huishoudens die het meest last hebben van tochtige woningen en hoge energieprijzen.,2,1,1,1,2,1,1
96,d66,2023,"Om de uitstoot van stikstof te beperken, is de agrarische sector essentieel. We kijken verder dan alleen naar de boeren. De hele weg van voedselproductie tot voedselconsumptie bepaalt uiteindelijk of we de doelen die we stellen ook kunnen halen. We kijken samen met boeren, supermarkten, natuur- en milieuorganisaties, agrarische ondernemingen, decentrale overheden, de levensmiddelenindustrie en de consument hoe we de omslag kunnen maken. D66 wil een voedselvisie met een duidelijk transitiepad en perspectief voor de boer, de keten en de consument. Hierbij horen stimulerende en sturende instrumenten en investeringen. Ook grote vervuilende industrieën moeten hun verantwoordelijkheid nemen. D66 wil strengere emissienormen en een actieve rol van de overheid in het verminderen van de stikstofuitstoot in deze sectoren. We bevorderen innovatie en investeren in technologieën die de uitstoot verminderen, terwijl we zorgen voor een rechtvaardige transitie voor werknemers en bedrijven. Op het gebied van mobiliteit houden we vast aan een maximumsnelheid van 100 km/uur. Lelystad Airport gaat niet open. En we stimuleren elektrische voertuigen, zodat de uitstoot ook daar snel minder wordt.",-1,-1,-1,-1,-1,-1,-1
97,d66,2023,"De overheid werkt actief aan een eerlijke prijs-scan voor haar eigen beleid. De overheid gaat groen begroten, waarbij de volledige maatschappelijke kosten en de impact van de begroting op de brede welvaart transparant worden gemaakt.",4,2,1,1,1,1,1
98,d66,2023,"De Nederlandse productie en consumptie moet in 2050 binnen de 'planetaire grenzen' vallen. Daarmee is de milieu-impact van productie en consumptie minimaal en is Nederland volledig circulair. In 2030 gebruiken we 50% minder primaire abiotische grondstoffen (mineralen, metalen en fossiele grondstoffen zoals aardolie en aardgas) ten opzichte van 1990, door in te zetten op minder verbruik, recycling, reparatie, renovatie, hergebruik van producten en grondstoffen. In 2040 zetten we in op 75% circulariteit.",1,1,2,1,3,1,1
99,d66,2023,"D66 wil dat de overheid bedrijven ondersteunt met verduurzaming, bijvoorbeeld met subsidies en de aanleg van publieke infrastructuur. Tegelijkertijd zorgen wij via normering en beprijzing voor de afbouw van vervuilende activiteiten.",3,1,1,1,2,1,1
100,d66,2023,We zetten in op een omslag naar een 'eerlijke prijs' waarin de maatschappelijke kosten mee worden genomen in de prijs. Eerlijke prijzen dwingen we via een heffing af. De inkomsten uit deze heffingen laten wij transparant terugvloeien naar de maatschappij om de koopkrachteffecten van de heffingen te herstellen.,4,3,1,1,2,1,1
101,d66,2023,"We investeren maximaal om het verlagen van onze CO2-uitstoot mogelijk te maken. We maken geld vrij voor infrastructuur voor groene waterstof, verzwaring en uitbreiding van het elektriciteitsnetwerk en voor meer laadpalen voor elektrische (vracht)auto's. Voor de verduurzaming van huizen en investeringen die anders niet rendabel zijn, stellen we subsidies beschikbaar. Om vergroening daadwerkelijk te realiseren, normeren en beprijzen we uitstoot van broeikasgassen. We introduceren een landelijk klimaatticket, waarmee je voor een vaste lage prijs in bus, tram, metro en trein in Nederland buiten de spits kan reizen. Dat maakt reizen met het openbaar vervoer mogelijk voor meer mensen, laat nieuwe reizigers kennismaken met het openbaar vervoer en maakt de overstap naar het openbaar vervoer aantrekkelijker.",5,1,1,1,1,1,1
102,d66,2023,We verhogen de klimaatdoelstelling naar 60 procent CO2-reductie in 2030 en klimaatneutraal in 2040. In 2030 willen we 50 procent minder grondstoffen gebruiken; in 2050 zijn we helemaal circulair. Iedere volwassene krijgt een basisbedrag dat onder andere dient ter compensatie voor de hogere kosten als gevolg van de transitie. Met een klimaatticket kun je voor een vaste lage prijs met het openbaar vervoer reizen. We maken €1 miljard per jaar vrij om nieuwe investeringen in de productie van groene en circulaire producten in Nederland te stimuleren. We bouwen alle subsidies op fossiele energie af. De gaswinning in Groningen stopt per 1 oktober 2024 definitief. Dat leggen we wettelijk vast.,4,1,2,1,2,2,1
103,fvd,2017,"Bij Forum voor Democratie zijn economie en duurzaamheid direct met elkaar verweven. Wij streven naar een economie die in balans is, en dat kan niet anders dan wanneer de economie duurzaamheid hoog in het vaandel heeft. Technologie heeft ons ver gebracht, en kan ons ook bij de juiste innovaties helpen de aarde te ondersteunen en duurzaamheid te bevorderen, zoals in het geval van alternatieve methoden voor energiewinning. Als kenniseconomie hebben we een kans voorop te lopen in de energietransitie en daar zelfs rendement op te behalen. Forum voor Democratie steunt de energietransitie, onder meer om onafhankelijker te worden van het Midden-Oosten, om schonere lucht te hebben en om de schitterende koolstofpolymeren die nu worden opgestookt te behouden.",4,1,1,3,2,1,1
104,fvd,2021,"Schonere lucht, bodem en water. Meer bomen, meer natuur. Maar stoppen met de klimaatplannen. Wij willen doorgaan met gebruik van gas voor de verwarming van woningen en voor de industrie. Stoppen met de horizon-vervuilende, geldvermalende windturbines. Investeren in kernenergie. En CO2 niet langer zien als 'vervuiler'.",3,1,1,1,3,1,1
105,fvd,2021,"Als we dit doen - als we stoppen met de massale, en alsmaar voortgaande immigratie, met het klimaatbeleid en de Europese eenmaking - dan houden we jaarlijks vele tientallen miljarden over.",2,1,1,1,1,1,3
106,fvd,2021,"Stoppen met onnodige duurzaamheidseisen die de prijzen opdrijven. Ook stoppen met subsidies voor ""verduurzaming"", die uiteindelijk alsnog moeten worden opgebracht door de belastingbetaler.",5,1,1,1,1,1,2
107,fvd,2023,door het absurde klimaatbeleid is het leven onbetaalbaar geworden,4,1,1,1,1,1,3
108,fvd,2023,"We stoppen met alle vormen van klimaatbeleid, stikstofbeleid en 'duurzaamheid'. Om energie weer betaalbaar te maken heropenen we de Nederlandse kolencentrales, maken we een herstart met de gasboringen in Groningen en investeren we in de bouw van twee nieuwe kernreactoren. De 1.000 miljard euro die we met deze koerswijziging besparen, wordt teruggeven aan de Nederlandse burger in de vorm van lastenverlichting.",5,1,1,2,1,1,3
109,fvd,2023,De overheid mag huiseigenaren niet dwingen zonnepanelen op hun dak te zetten.,1,2,1,1,1,1,3
110,groenlinks,2010,"Het wemelt in ons land van de praktische idealisten. Zij wachten niet op de politiek om de klimaatcrisis of de kredietcrisis aan te pakken, maar komen zelf in actie. Ze bedenken groene innovaties of importeren eerlijke producten uit Afrika. Ze twitteren hun steun voor Iraanse democraten en helpen Chinese internetters de censuur te omzeilen. Ze switchen naar een duurzame bank. Deze wereldburgers verdienen een regering die hen aanmoedigt, niet afremt.",2,3,1,1,2,2,1
111,groenlinks,2010,"In de tweede plaats mogen we nieuwe generaties niet langer opzadelen met onze problemen. Daarom zijn nu forse investeringen in het onderwijs nodig, hervormingen om de vergrijzing op te vangen, effectieve klimaatpolitiek en sanering van de overheidsfinanciën.",2,4,1,1,1,2,1
112,groenlinks,2012,"De negatieve effecten van Nederlands beleid, onder andere op het gebied van handel, belastingen, landbouwsubsidies en klimaat, op de effectiviteit van ontwikkelingssamenwerking worden onderzocht en aangepakt.",1,2,2,1,1,1,1
113,groenlinks,2012,"worden er vak(technische)opleidingen gecreëerd op het gebied van onder meer warmte- en koudetechniek en duurzame energie, waarmee jongeren direct aan de slag kunnen in de groene economie.",4,1,1,1,1,1,1
114,groenlinks,2017,"Er gaat meer geld naar ontwikkelingssamenwerking. De bestedingen gaan omhoog naar de internationaal afgesproken norm van 1,0% van het BNP. De kosten voor opvang van asielzoekers worden niet betaald uit het ontwikkelingsbudget. Klimaatsteun voor ontwikkelingslanden komt bovenop de uitgaven voor ontwikkelingssamenwerking.",2,3,1,1,1,1,1
115,groenlinks,2017,"We beschermen ons land tegen overstromingen en wateroverlast, waar mogelijk door rivieren meer ruimte te geven en hun natuurwaarden te versterken, in plaats van dijken te verzwaren.",1,1,1,1,3,1,1
116,groenlinks,2017,de fossiele industrie. Financiële innovaties moeten gericht zijn op duurzame economische investeringen waardoor kapitaal beschikbaar komt voor groene start-ups en duurzame bedrijven.,4,1,1,1,2,1,1
117,groenlinks,2017,"We ijveren ervoor, ook op Europees niveau, dat alle nieuwe voertuigen zo snel mogelijk elektrisch worden: scooters en bromfietsen uiterlijk vanaf 2020, personen- en bestelauto's, bussen en kleine distributietrucks uiterlijk vanaf 2025. Elektrische auto's worden fiscaal goedkoper, auto's met een verbrandingsmotor worden duurder. Er komt een landelijk dekkend netwerk van laadpalen en snellaadstations.",3,1,1,1,1,2,1
118,groenlinks,2021,"Er is een groeiende onderstroom in de samenleving die strijdt voor die systeemverandering, die vecht tegen klimaatverandering, racisme en sociale ongelijkheid. De afgelopen jaren werd dat meer zichtbaar dan ooit via de klimaatstakers, Black Lives Matter en docenten en verpleegkundigen in actie. GroenLinks voelt zich verbonden met deze bewegingen.",1,4,1,1,1,2,3
119,groenlinks,2021,"Er was geen alternatief voor blinde economische groei, die onze planeet uitputte.",4,2,1,1,3,1,1
120,groenlinks,2021,We stoppen uiterlijk in 2025 de verkoop van nieuwe fossiele brom- en snorfietsen.,1,1,1,1,2,2,1
121,groenlinks,2021,We doen er alles aan om de opwarming van de aarde te beperken tot anderhalve graad. We stoten in 2030 60 procent minder CO2 en andere broeikasgassen uit dan in 1990 en in 2045 is de hele samenleving klimaatneutraal. In 2040 zijn onze elektriciteitsopwekking en de industrie klimaatneutraal. Daarbij gaan de grootste vervuilers de rekening betalen; de rest van de samenleving profiteert.,2,1,2,1,1,2,2
122,groenlinks,2021,We zetten ons in om de rechten van klimaatvluchtelingen beter te verankeren in internationale verdragen.,1,4,1,1,2,1,1
123,groenlinks,2021,"Handel waarin mensenrechten, welzijn, klimaat, natuur en dierenwelzijn belangrijker zijn dan zoveel mogelijk geld verdienen.",2,4,1,1,2,1,1
124,groenlinks,2021,"Nederland staat internationaal voor klimaatrechtvaardigheid en het aanpakken van de klimaatcrisis. We nemen als rijk land onze (historische) verantwoordelijkheid bij het ondersteunen van landen die het heftigst lijden onder de effecten van klimaatverandering, met oog voor hun ontwikkelingspositie. Hierbij proberen we lokale gemeenschappen zoveel mogelijk zeggenschap te geven. Nederland dringt er bij de EU en de VN op aan dat in bestaande conflictresolutiemethoden aandacht wordt besteed aan een gelijke verdeling van basisbehoeften als voedsel en water. We werken (inter)nationaal aan de erkenning van het mensenrecht op duurzame ontwikkeling, een stabiel klimaat en een gezond en schoon leefmilieu voor huidige en toekomstige generaties.",1,5,1,1,2,2,1
125,groenlinks,2021,"Kerncentrales zijn geen optie voor het duurzaam opwekken van energie. De bouw van een centrale duurt tientallen jaren, daar wacht de klimaatcrisis niet op. Daarnaast kosten de bouw en de ontmanteling van een kerncentrale tientallen miljarden euro's, waardoor kernenergie op geen enkele manier economisch rendabel is. Niet voor niets is er geen bedrijf te vinden dat in Nederland een kerncentrale wil bouwen. En dan hebben we het nog niet eens over het risico op desastreuze ongelukken en het radioactieve afval waarmee we ontelbare generaties na ons zouden opzadelen. Als mogelijk interessante opties voor de toekomst ondersteunen we wel onderzoek naar thorium en kernfusie.",4,2,1,1,3,3,1
126,groenlinks,2021,"GroenLinks strijdt voor een andere globalisering. Een globalisering waarin we naïef economisme vervangen door internationale solidariteit, mondiaal klimaatbeleid, bescherming van mensenrechten en strategische onafhankelijkheid.",2,4,1,3,1,1,2
127,groenlinks-pvda,2023,"We investeren in Groningen als belangrijke speler in de transitie naar waterstof, via omscholingsfondsen en brede mbo-, hbo- en woscholingsprogramma's.",4,1,1,1,1,1,1
128,groenlinks-pvda,2023,"Ons ideaal: vooruitgang voor iedereen binnen de draagkracht van de aarde. Dat bereiken we door elkaar weer te gaan vertrouwen en samen de schouders eronder te zetten. Daar is in de eerste plaats een betrouwbare, inclusieve en behulpzame overheid met visie voor nodig. De maatschappelijke problemen waarmee we te maken hebben, zijn het resultaat van politieke en beleidsmatige keuzes. Een decennialange focus op geld, rendement en bezit heeft geleid tot de uitbuiting van mens en planeet.",2,4,1,1,2,1,1
129,groenlinks-pvda,2023,Krimp van het vliegverkeer. De Nederlandse luchtvaart levert de grootste bijdrage aan klimaatopwarming door Nederland. Daarnaast zorgt de luchtvaart voor grote gezondheidsschade van mens en natuur. Daarom moet vliegen door Nederland veel scherper worden ontmoedigd. We beginnen met het invoeren van een progressieve vliegbelasting die oploopt naarmate mensen meer vliegen. Ook komt er een toeslag voor overstappers. Verder stoppen we met vluchten binnen 750 kilometer waarvoor een alternatieve treinverbinding bestaat en met nachtvluchten. Het aantal vluchten op Schiphol en Eindhoven Airport gaat sterk omlaag; deze vliegvelden concentreren zich voortaan op de luchtvaart die voor Nederland belangrijk is. Lelystad Airport en Rotterdam-The Hague Airport gaan dicht. We onderzoeken de maatschappelijke en economische waarde van de andere lokale vliegvelden en de waarde van de locatie voor eventuele alternatieve functies. Onrendabele vliegvelden worden niet langer overeind gehouden.,3,1,2,1,4,1,1
130,groenlinks-pvda,2023,"Via een nieuw op te richten Woningbouwfonds zorgen we voor een forse toename in de bouw van betaalbare en duurzame huur- en koopwoningen. De ambitie is dat er jaarlijks 100.000 woningen bijkomen, waarvan minimaal 40.000 sociale huurwoningen en 40.000 woningen in het middensegment (huur en koop).",3,1,2,1,2,1,1
131,groenlinks-pvda,2023,"Bestaanszekerheid, solidariteit en rechtvaardigheid zijn de centrale waarden in de aanpak van de ecologische crises. In buurten, wijken en regio's met de meeste klimaatstress en energiearmoede leveren we de grootste inspanningen. Het wringt dat Teslarijders subsidie krijgen, terwijl anderen het moeten doen met radiatorfolie of een tochtstrip. De middenklasse die wel wil verduurzamen, maar niet weet hoe, ontzorgen we maximaal. Van bedrijven en mensen die het meest bijdragen aan de vervuiling en de uitputting van schaarse hulpbronnen, vragen wij de grootste bijdrage aan de oplossing.",2,4,1,1,2,1,2
132,groenlinks-pvda,2023,"Een eerlijke en effectieve energiebelasting. De huidige energiebelasting is oneerlijk en ineffectief: het tarief van de belasting neemt af naarmate het gebruik groter wordt. Daardoor voelen grote vervuilers te weinig druk om te verduurzamen, terwijl consumenten met een hoge energierekening zitten waar ze in veel gevallen geen invloed op hebben, bijvoorbeeld omdat ze huren of niet de financiële middelen hebben voor isolatie. Daarom gaan we de tarieven in de energiebelasting meer gelijktrekken.",3,4,1,1,1,1,2
133,groenlinks-pvda,2023,"We geven woningcorporaties en wooncoöperaties de middelen om actief woningen van private partijen over te kopen, op te knappen, te verduurzamen en er sociale huur in te realiseren.",2,1,1,1,2,1,1
134,groenlinks-pvda,2023,"Hoger waterpeil in veenweidegebieden. In de veenweidegebieden (met een maximale drooglegging van-20 cm waar het kan tot -40 cm waar het moet), voorkomen we de oxidatie van het veen en daarmee bodemdaling en CO2-uitstoot. We geven prioriteit aan de gebieden waar de kosten voor waterbeheer nu al (vrijwel) net zo hoog zijn als de opbrengsten van de landbouw of waar de natuur achteruitgaat. Daar stimuleren we natte natuur en natte landbouw.",2,1,1,1,3,1,1
135,groenlinks-pvda,2023,"Geen extra subsidie voor ondergrondse opslag CO2. Het ondergronds opslaan van CO2, ook wel carbon capture storage (CCS), is een tijdelijke oplossing die grote vervuilers in staat stelt om langer te wachten met het overschakelen naar duurzame energie. We gaan daarom niet nog meer gemeenschapsgeld stoppen in CCS dan al is afgesproken. Dat geld kunnen we immers maar één keer uitgeven en wij steken het liever in hernieuwbare energie.",4,1,1,1,2,1,2
136,groenlinks-pvda,2023,"Uiteraard willen we af van de miljarden euro's aan fossiele subsidies. Daarom beginnen we onmiddellijk met het afbouwen ervan. Vervuiling, luxeconsumptie en grote vermogens belasten we zwaarder. Dit geld gebruiken we voor een grootscheeps offensief om mensen te helpen en te ontzorgen die niet in staat zijn hun huizen aardgasvrij te maken, tegen hitte en kou te beschermen of zonnepanelen te kopen. We zorgen voor brede pakketten aan steunmaatregelen, voor om- en bijscholing en sociale vangnetten voor mensen die nadelen van de transitie ervaren.",4,2,1,1,2,2,1
137,groenlinks-pvda,2023,"We zetten ons in voor de ontwikkeling van een nieuw EU-handelsbeleid, dat eerlijke en groene voorwaarden stelt aan handelsafspraken, in lijn met de Parijsdoelen. We staan open voor nieuwe EU-handelssamenwerking met landen wereldwijd. Verdragen moeten afdwingbare bepalingen over democratie, mensenrechten, arbeidsomstandigheden, milieu, klimaat, natuur, voedselstandaarden en eerlijke belastingafdrachten een stap dichterbij brengen.",2,4,2,1,3,1,1
138,groenlinks-pvda,2023,"Meer inzet op slimmere, gezondere en schonere mobiliteit. Meer nadruk op lopen, fietsen, openbaar vervoer en deelmobiliteit en minder op het gebruik van privéauto's is essentieel. Een aanzienlijk deel van de publieke ruimte die privéauto's in beslag nemen, kan beter worden gebruikt voor bijvoorbeeld extra woningen, parken en pleintjes of voorzieningen. Naast bouwen rondom knooppunten en het beter gebruiken van bestaande OV-verbindingen, zetten we in op slimmer vervoer en deelmobiliteit. We geven voorrang aan coöperatieve vormen van deelmobiliteit en zijn kritisch op commerciële aanbieders. In het verkeer krijgen voetgangers en fietsers voorrang op auto's. We investeren in voetgangersinfrastructuur, (snel)fietspaden in het binnen- en buitengebied, voldoende fietsstallingen (waaronder bij stations) en landelijke regelgeving wordt aangepast om (snor)scooters binnen de bebouwde kom van het fietspad te weren. Binnen de bebouwde kom wordt 30 km/u de norm.",1,1,1,1,2,1,1
139,groenlinks-pvda,2023,"Gezien de Veluwe het grootste Natura2000-gebied is op land, is voor het behalen van de stikstofdoelen een stevige gebiedsaanpak noodzakelijk.",1,1,2,1,2,1,1
140,groenlinks-pvda,2023,"Alleen met de inbreng, ideeën en inzet van burgers en de steun voor en acceptatie van beleid door de samenleving kunnen we de grote veranderopgaven aangaan om Nederland toekomstbestendig te maken; of het nu om fossielvrije energie, klimaatadaptatie, de grote woningtekorten of een natuurvriendelijker landbouw gaat.",1,1,1,1,2,1,1
141,groenlinks-pvda,2023,Iedereen heeft recht op een goede en duurzame woning.,1,3,1,1,2,1,1
142,groenlinks-pvda,2023,Geen van de vele uitdagingen waar wij voor staan kan uitstel velen. Dat is de paradox van onze tijd: we hebben geen tijd te verliezen en toch is er tijd nodig voor structureel herstel. De klimaatcrisis vraagt om onmiddellijke en diepgaande actie. Actie die wel ingebed moet zijn in een plan dat decennia duurt om helemaal ten uitvoer te brengen.,1,1,1,1,1,4,1
143,groenlinks-pvda,2023,"We stimuleren transformatie, optoppen en splitsen van bestaande woningbouw. Met meer modulaire bouw kunnen woningen sneller aangepast worden aan veranderende omstandigheden. We moedigen mensen actief aan om hun woning met anderen te delen, onder andere door de kostendelersnorm te schrappen. Ook zorgen we ervoor dat iedere gemeente een leegstandsverordening opstelt en geven we gemeenten de mogelijkheid om eigenaren van leegstaande panden te belasten.",2,1,1,1,1,1,1
144,pvda,2010,"We willen het fietsgebruik stimuleren, omdat hiermee niet alleen de bereikbaarheid en het milieu wordt verbeterd, maar ook de gezondheid wordt bevorderd.",1,1,1,1,3,1,1
